label,HRV,meanX,stdX,magX,meanY,stdY,magY,meanZ,stdZ,magZ,step,distance,home,work,screenTime
0,10.42,-520.51,2.36,5205.15,-307.05,3.42,3070.69,-860.48,2.61,8604.84,0,0,1,0,15.462
0,26.31,-499.19,4.13,4992.07,-378.26,6.62,3783.18,-843.63,3.06,8436.36,0,0,1,0,15.462
0,41.14,-226.03,2.99,2260.5,34.27,8.03,351.99,-1040.37,2.08,10403.72,0,0,1,0,0
0,23.83,-124.39,316.28,3398.61,289.58,386.99,4833.39,-847.87,303.55,9005.7,0,0,1,0,223.311
0,20.72,-214.39,18.15,2151.57,6.02,43.03,434.49,-1042.66,10,10427.08,0,0,1,0,316.804
0,56.98,241.65,25.87,2430.31,409.87,81.4,4178.75,870.82,38.74,8716.81,0,0,1,0,175.561
0,23.38,-935.9,2.17,9359.03,354.09,4.93,3541.24,-167.08,7.16,1672.33,0,0,1,0,0
0,25.19,-913.92,4.72,9139.32,324.21,19.62,3248.03,-316.12,17.5,3166.04,0,0,1,0,0
0,11.62,-211.88,6.34,2119.75,537.35,17.1,5376.22,-885.89,10.88,8859.57,0,0,1,0,36.578
0,43.82,-984.34,2.79,9843.44,174.62,7.16,1747.67,-168.48,7.91,1686.66,0,0,1,0,36.578
1,48.76,-973.27,4.36,9732.8,154.18,29.6,1569.95,162.14,12,1625.83,0,0,1,0,5.567
1,9.25,-1.78,174.11,1741.2,376.96,668.01,7670.32,-684.9,161.38,7036.57,0,0,1,0,0
1,22.23,-963.99,2.48,9639.93,236.9,9.76,2371.01,124.72,10.63,1251.72,0,0,1,0,12.042
1,40.02,-945.09,2.01,9450.92,309.43,5.76,3094.84,121.21,8.14,1214.83,0,0,1,0,12.042
0,16.89,-183.91,1.5,1839.16,373.82,7.5,3738.95,-979.49,3.71,9794.97,0,0,0,1,0
0,173.48,372.33,478.4,6062.18,628.6,249.85,6764.34,-24.71,523,5235.87,0,0,0,1,16.576
0,12.12,-723.36,235.74,7608.03,112.99,276.47,2986.66,-599.3,271.97,6581.26,0,0,0,1,8.114
0,33.7,-260.94,167.3,3099.69,148.31,175.47,2297.51,-990.8,44.3,9917.9,0,0,0,1,0
0,58.88,10.15,176.12,1764.11,659.62,326.49,7360,-562.07,474.18,7353.69,7,0,0,1,10.065
0,37.34,-182.79,281.75,3358.51,657.69,346.09,7431.92,-606.49,300.09,6766.73,0,0,0,1,10.065
0,42.51,-442.52,30.87,4435.95,619.25,114.13,6296.8,-699.12,105.27,7070.01,0,0,0,1,0
0,22.43,-460.01,27.43,4608.27,619.1,37.6,6202.4,-704.59,26.94,7051.05,0,0,0,1,172.535
0,75.99,-913.85,11.86,9139.27,242.32,269.51,3624.26,-201.5,172.04,2649.52,0,0,0,1,189.387
0,15.15,-442.57,143.36,4652.11,816.12,135.34,8272.65,-202.95,336.58,3930.36,39,0,0,1,16.852
1,26.33,-144.82,2.57,1448.43,-21.38,5.23,220.11,-1057.17,2.02,10571.72,0,0,0,1,0
1,20.06,-471.04,234.45,5261.63,78.46,174.46,1912.94,-887.5,178.53,9052.79,0,0,0,1,14.137
1,41.71,-286.99,239.96,3740.88,-105.1,237.62,2598.29,-932.34,251.57,9656.84,0,0,0,1,192.028
1,96.37,-147.77,1.67,1477.79,17.9,4.5,184.58,-1056.38,1.9,10563.82,0,0,0,1,477.102
0,46.92,-295.67,358.36,4645.85,294.43,369.08,4721.36,-788.51,325.79,8531.64,0,0,0,1,0
0,52.33,88.01,411.34,4206.52,491.46,165.38,5185.41,-819.54,113.7,8273.9,0,0,0,1,0
0,52.48,457.7,313.79,5549.34,771.12,233.62,8057.33,-197.04,473.59,5129.48,0,0,0,1,21.767
0,75.72,752.88,193.14,7772.6,-426.76,191.14,4676.11,524.3,163.56,5492.21,19,0,0,1,21.767
0,16.77,719.94,189.05,7443.48,-327.12,356.79,4840.56,597.58,234.42,6419.14,33,0,0,0,8.144
0,4.88,-233.89,133.82,2694.67,937.1,169.78,9523.55,109.21,301.65,3208.09,946,0,0,0,7.935
0,22.42,417.13,507.24,6567.29,543.89,299.86,6210.76,-510.8,262.51,5743.07,263,1,0,1,21.803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.154
0,52.31,219.68,418.42,4725.8,664.67,381.24,7662.44,-350.24,476.9,5916.94,51,1,0,1,6.84
0,14.76,-952.37,8.51,9524.08,70.64,38.29,803.51,-362.37,30.2,3636.26,0,0,0,1,42.028
0,64.23,-705.25,175.26,7267.01,608.94,119.5,6205.54,-369.11,213.67,4264.96,0,0,0,1,113.321
0,133.82,-160.7,28.06,1631.32,61.22,105.28,1217.85,-1048.24,26.87,10485.84,0,0,0,1,78.525
1,57.87,-867.65,70.19,8704.84,161.97,324.51,3626.87,201.85,271.6,3383.9,0,0,0,1,0
1,34.6,-785.57,27.56,7860.53,567.2,99.4,5758.44,-292.01,108.3,3114.45,0,0,0,1,0
